iter	Passed	Remaining
414	2948	4156
415	2954	4147
416	2962	4141
417	2978	4147
418	2983	4136
419	2999	4142
420	3007	4136
421	3015	4130
422	3026	4127
423	3033	4120
424	3042	4116
425	3051	4111
426	3057	4103
427	3067	4099
428	3076	4094
429	3084	4088
430	3092	4083
431	3100	4076
432	3109	4071
433	3118	4067
434	3128	4063
435	3136	4057
436	3144	4050
437	3153	4045
438	3158	4035
439	3161	4024
440	3165	4012
441	3169	4000
442	3172	3988
443	3176	3977
444	3179	3965
445	3183	3953
446	3186	3942
447	3190	3931
448	3194	3919
449	3197	3908
450	3210	3908
451	3214	3897
452	3221	3890
453	3225	3878
454	3229	3867
455	3232	3856
456	3236	3845
457	3240	3834
458	3244	3823
459	3248	3813
460	3252	3802
461	3255	3791
462	3259	3780
463	3263	3770
464	3267	3759
465	3271	3748
466	3275	3738
467	3279	3727
468	3283	3717
469	3296	3717
470	3300	3706
471	3303	3695
472	3307	3684
473	3311	3674
474	3315	3664
475	3319	3653
476	3322	3643
477	3326	3632
478	3330	3622
479	3333	3611
480	3337	3601
481	3341	3591
482	3345	3581
483	3349	3570
484	3353	3561
485	3360	3553
486	3368	3548
487	3374	3539
488	3383	3535
489	3392	3531
490	3399	3524
491	3403	3513
492	3406	3503
493	3410	3492
494	3413	3482
495	3417	3472
496	3420	3461
497	3424	3451
498	3427	3441
499	3431	3431
500	3435	3421
501	3439	3411
502	3443	3402
503	3446	3391
504	3450	3382
505	3454	3372
506	3458	3362
507	3461	3352
508	3464	3342
509	3468	3332
510	3471	3322
511	3482	3319
512	3490	3313
513	3499	3308
514	3507	3303
515	3516	3298
516	3525	3293
517	3532	3287
518	3541	3282
519	3548	3275
520	3558	3271
521	3576	3274
522	3582	3267
523	3602	3272
524	3607	3263
525	3620	3263
526	3639	3266
527	3643	3257
528	3647	3247
529	3651	3238
530	3655	3228
531	3660	3220
532	3664	3210
533	3668	3201
534	3673	3192
535	3678	3183
536	3682	3175
537	3687	3166
538	3691	3156
539	3695	3148
540	3699	3138
541	3704	3130
542	3709	3121
543	3713	3112
544	3716	3103
545	3720	3093
546	3724	3084
547	3727	3074
548	3730	3064
549	3734	3055
550	3737	3045
551	3741	3036
552	3744	3027
553	3748	3017
554	3753	3009
555	3757	3000
556	3760	2991
557	3772	2987
558	3778	2981
559	3785	2973
560	3791	2966
561	3805	2965
562	3811	2958
563	3818	2951
564	3824	2944
565	3831	2937
566	3838	2931
567	3845	2924
568	3851	2917
569	3856	2909
570	3884	2918
571	3904	2921
572	3913	2916
573	3928	2915
574	3940	2912
575	3951	2908
576	3961	2904
577	3965	2895
578	3969	2886
579	3973	2877
580	3977	2868
581	3981	2859
582	3984	2850
583	3988	2841
584	3992	2832
585	3995	2822
586	3999	2813
587	4003	2804
588	4006	2795
589	4010	2786
590	4013	2777
591	4017	2768
592	4021	2760
593	4046	2765
594	4049	2756
595	4053	2747
596	4058	2739
597	4062	2730
598	4066	2722
599	4070	2713
600	4074	2705
601	4078	2696
602	4083	2688
603	4087	2679
604	4091	2671
605	4095	2662
606	4099	2654
607	4103	2645
608	4108	2637
609	4112	2629
610	4116	2620
611	4120	2612
612	4124	2603
613	4128	2595
614	4132	2586
615	4136	2578
616	4140	2570
617	4144	2561
618	4149	2553
619	4153	2545
620	4157	2537
621	4161	2529
622	4165	2520
623	4169	2512
624	4173	2504
625	4177	2495
626	4181	2487
627	4185	2479
628	4189	2470
629	4193	2462
630	4197	2454
631	4201	2446
632	4205	2438
633	4209	2430
634	4213	2422
635	4217	2414
636	4221	2405
637	4225	2397
638	4229	2389
639	4232	2381
640	4236	2372
641	4240	2364
642	4243	2356
643	4247	2348
644	4250	2339
645	4254	2331
646	4258	2323
647	4261	2315
648	4265	2306
649	4268	2298
650	4272	2290
651	4276	2282
652	4279	2274
653	4283	2266
654	4287	2258
655	4290	2250
656	4294	2241
657	4297	2233
658	4301	2225
659	4306	2218
660	4310	2210
661	4327	2209
662	4334	2203
663	4345	2199
664	4359	2196
665	4369	2191
666	4380	2186
667	4400	2187
668	4404	2179
669	4408	2171
670	4412	2163
671	4416	2155
672	4420	2147
673	4424	2140
674	4428	2132
675	4432	2124
676	4435	2116
677	4440	2108
678	4444	2100
679	4448	2093
680	4452	2085
681	4456	2077
682	4460	2070
683	4463	2062
684	4467	2054
685	4472	2047
686	4475	2039
687	4479	2031
688	4483	2023
689	4487	2016
690	4491	2008
691	4495	2001
692	4499	1993
693	4503	1985
694	4506	1977
695	4510	1970
696	4514	1962
697	4517	1954
698	4521	1947
699	4525	1939
700	4528	1931
701	4532	1923
702	4535	1916
703	4539	1908
704	4542	1900
705	4546	1893
706	4550	1885
707	4553	1878
708	4557	1870
709	4561	1862
710	4564	1855
711	4575	1850
712	4579	1843
713	4583	1835
714	4587	1828
715	4591	1821
716	4595	1813
717	4599	1806
718	4603	1799
719	4607	1791
720	4611	1784
721	4615	1777
722	4620	1770
723	4624	1762
724	4629	1756
725	4633	1748
726	4637	1741
727	4642	1734
728	4646	1727
729	4650	1719
730	4654	1712
731	4658	1705
732	4662	1698
733	4666	1691
734	4670	1684
735	4674	1676
736	4678	1669
737	4682	1662
738	4687	1655
739	4690	1648
740	4694	1641
741	4699	1633
742	4702	1626
743	4706	1619
744	4710	1612
745	4714	1605
746	4718	1598
747	4722	1591
748	4727	1584
749	4731	1577
750	4735	1570
751	4739	1562
752	4743	1555
753	4747	1548
754	4751	1541
755	4755	1534
756	4759	1527
757	4763	1520
758	4767	1513
759	4771	1506
760	4775	1499
761	4779	1492
762	4782	1485
763	4786	1478
764	4790	1471
765	4793	1464
766	4797	1457
767	4800	1450
768	4804	1443
769	4807	1436
770	4811	1429
771	4815	1422
772	4819	1415
773	4822	1408
774	4826	1401
775	4830	1394
776	4833	1387
777	4837	1380
778	4841	1373
779	4845	1366
780	4848	1359
781	4852	1352
782	4856	1345
783	4860	1339
784	4872	1334
785	4876	1327
786	4881	1321
787	4885	1314
788	4889	1307
789	4893	1300
790	4897	1293
791	4901	1287
792	4905	1280
793	4908	1273
794	4912	1266
795	4916	1260
796	4920	1253
797	4924	1246
798	4928	1239
799	4935	1233
800	4942	1227
801	4949	1222
802	4957	1216
803	4967	1211
804	4973	1204
805	4983	1199
806	4991	1193
807	4998	1187
808	5006	1181
809	5013	1175
810	5023	1170
811	5029	1164
812	5037	1158
813	5045	1152
814	5053	1147
815	5061	1141
816	5065	1134
817	5069	1127
818	5073	1121
819	5076	1114
820	5080	1107
821	5083	1100
822	5087	1094
823	5091	1087
824	5094	1080
825	5098	1074
826	5102	1067
827	5105	1060
828	5109	1053
829	5113	1047
830	5117	1040
831	5121	1034
832	5126	1027
833	5130	1021
834	5134	1014
835	5138	1007
836	5141	1001
837	5145	994
838	5148	988
839	5152	981
840	5156	974
841	5160	968
842	5163	961
843	5167	955
844	5171	948
845	5175	942
846	5179	935
847	5183	929
848	5187	922
849	5191	916
850	5195	909
851	5199	903
852	5203	896
853	5207	890
854	5211	883
855	5215	877
856	5219	870
857	5223	864
858	5227	858
859	5231	851
860	5235	845
861	5239	838
862	5243	832
863	5247	825
864	5251	819
865	5255	813
866	5258	806
867	5262	800
868	5266	793
869	5270	787
870	5274	781
871	5278	774
872	5282	768
873	5286	762
874	5290	755
875	5293	749
876	5297	743
877	5301	736
878	5305	730
879	5309	724
880	5313	717
881	5317	711
882	5321	705
883	5325	698
884	5328	692
885	5332	686
886	5336	679
887	5340	673
888	5343	667
889	5347	660
890	5351	654
891	5354	648
892	5358	642
893	5361	635
894	5365	629
895	5368	623
896	5372	616
897	5376	610
898	5380	604
899	5383	598
900	5387	591
901	5391	585
902	5395	579
903	5399	573
904	5409	567
905	5413	561
906	5417	555
907	5421	549
908	5425	543
909	5429	536
910	5433	530
911	5437	524
912	5441	518
913	5445	512
914	5449	506
915	5452	500
916	5456	493
917	5460	487
918	5464	481
919	5468	475
920	5472	469
921	5476	463
922	5480	457
923	5484	451
924	5488	445
925	5492	438
926	5496	432
927	5500	426
928	5504	420
929	5507	414
930	5511	408
931	5514	402
932	5518	396
933	5521	390
934	5525	384
935	5528	378
936	5532	371
937	5535	365
938	5539	359
939	5542	353
940	5546	347
941	5550	341
942	5553	335
943	5557	329
944	5560	323
945	5564	317
946	5567	311
947	5571	305
948	5575	299
949	5579	293
950	5583	287
951	5586	281
952	5590	275
953	5594	269
954	5598	263
955	5602	257
956	5606	251
957	5609	245
958	5613	239
959	5616	234
960	5620	228
961	5624	222
962	5627	216
963	5631	210
964	5635	204
965	5638	198
966	5642	192
967	5645	186
968	5649	180
969	5653	174
970	5656	168
971	5660	163
972	5663	157
973	5667	151
974	5674	145
975	5678	139
976	5685	133
977	5692	128
978	5699	122
979	5706	116
980	5712	110
981	5720	104
982	5727	99
983	5735	93
984	5745	87
985	5753	81
986	5759	75
987	5767	70
988	5776	64
989	5782	58
990	5790	52
991	5798	46
992	5806	40
993	5814	35
994	5819	29
995	5828	23
996	5835	17
997	5843	11
998	5849	5
999	5857	0
