iter	Logloss
0	0.6402157033
1	0.6006762235
2	0.5664714298
3	0.5324535938
4	0.5043724741
5	0.4820694355
6	0.4603333602
7	0.4438811621
8	0.4294449842
9	0.4158921033
10	0.40425609
11	0.3964479703
12	0.3890468013
13	0.3819277189
14	0.3748683376
15	0.3697680028
16	0.3650129293
17	0.3598845794
18	0.3558515028
19	0.3522870653
20	0.348882709
21	0.3455808137
22	0.3435701318
23	0.3409142865
24	0.3385749166
25	0.3364098411
26	0.334593099
27	0.3321619473
28	0.3309355321
29	0.329332149
30	0.3280711079
31	0.3270156864
32	0.3251321624
33	0.3239145099
34	0.3227636142
35	0.3215885356
36	0.3200965779
37	0.3191419298
38	0.3181895066
39	0.3172616119
40	0.3164249272
41	0.3153544827
42	0.3143307345
43	0.313694089
44	0.3132400092
45	0.3124346811
46	0.3117720641
47	0.3109136384
48	0.3104020773
49	0.3098929681
50	0.3092752174
51	0.3084125482
52	0.3078187007
53	0.3071207476
54	0.3066500448
55	0.3060952255
56	0.3056316878
57	0.3052021928
58	0.3048810212
59	0.304342598
60	0.3038848544
61	0.3031761558
62	0.302945524
63	0.3025802765
64	0.3021246813
65	0.3018173976
66	0.3014320917
67	0.3011273604
68	0.3007179809
69	0.3004309768
70	0.2997814532
71	0.2994563027
72	0.2991283805
73	0.2988623702
74	0.2985274781
75	0.2981595508
76	0.2979807927
77	0.2976711233
78	0.2974842576
79	0.2972335392
80	0.2970494109
81	0.296669328
82	0.2963534141
83	0.2958639432
84	0.2954327682
85	0.2951450266
86	0.2948966919
87	0.2946891065
88	0.2944986585
89	0.29428457
90	0.2940478719
91	0.2937371134
92	0.2935790932
93	0.2933832657
94	0.2930833696
95	0.2927452968
96	0.2922871406
97	0.2921318461
98	0.2918523022
99	0.2917569055
100	0.2915743253
101	0.2913680041
102	0.291143102
103	0.2907043944
104	0.290409932
105	0.290271139
106	0.2900440319
107	0.2899103424
108	0.2897319797
109	0.2894813675
110	0.2893219568
111	0.2891822678
112	0.289057026
113	0.2889296152
114	0.2886976447
115	0.2885917528
116	0.2883598662
117	0.2882648451
118	0.2877706143
119	0.2876467105
120	0.2874991759
121	0.2873807882
122	0.2872711758
123	0.2871580377
124	0.2869724148
125	0.2867794546
126	0.2866115727
127	0.2864488697
128	0.2862780679
129	0.286186433
130	0.286083424
131	0.2859146685
132	0.2857773454
133	0.2856676452
134	0.285365332
135	0.2852897984
136	0.2851894613
137	0.2850662914
138	0.2849816565
139	0.2848852429
140	0.28479409
141	0.2846559129
142	0.2845047694
143	0.2843826697
144	0.2843124147
145	0.2842125846
146	0.284092941
